"","SS","Visits"
"1","BG_1_10",7
"2","BG_1_100",6
"3","BG_1_101",5
"4","BG_1_102",5
"5","BG_1_103",6
"6","BG_1_104",7
"7","BG_1_105",4
"8","BG_1_109",6
"9","BG_1_11",4
"10","BG_1_111",6
"11","BG_1_112",4
"12","BG_1_113",4
"13","BG_1_114",6
"14","BG_1_115",5
"15","BG_1_116",8
"16","BG_1_117",6
"17","BG_1_118",5
"18","BG_1_119",7
"19","BG_1_12",7
"20","BG_1_120",5
"21","BG_1_124",8
"22","BG_1_126",6
"23","BG_1_127",4
"24","BG_1_128",6
"25","BG_1_129",7
"26","BG_1_13",6
"27","BG_1_130",6
"28","BG_1_131",2
"29","BG_1_132",6
"30","BG_1_133",5
"31","BG_1_134",6
"32","BG_1_135",3
"33","BG_1_139",5
"34","BG_1_14",4
"35","BG_1_141",5
"36","BG_1_142",3
"37","BG_1_143",1
"38","BG_1_144",5
"39","BG_1_145",5
"40","BG_1_146",4
"41","BG_1_147",5
"42","BG_1_148",5
"43","BG_1_149",8
"44","BG_1_150",5
"45","BG_1_21",8
"46","BG_1_22",2
"47","BG_1_23",2
"48","BG_1_24",6
"49","BG_1_25",8
"50","BG_1_26",8
"51","BG_1_27",6
"52","BG_1_28",5
"53","BG_1_29",5
"54","BG_1_36",5
"55","BG_1_37",5
"56","BG_1_38",3
"57","BG_1_39",5
"58","BG_1_40",6
"59","BG_1_41",5
"60","BG_1_42",4
"61","BG_1_43",2
"62","BG_1_44",5
"63","BG_1_45",5
"64","BG_1_51",6
"65","BG_1_52",7
"66","BG_1_53",6
"67","BG_1_54",6
"68","BG_1_55",2
"69","BG_1_56",2
"70","BG_1_57",2
"71","BG_1_58",1
"72","BG_1_59",6
"73","BG_1_6",2
"74","BG_1_60",5
"75","BG_1_66",4
"76","BG_1_67",5
"77","BG_1_68",3
"78","BG_1_69",6
"79","BG_1_7",6
"80","BG_1_70",2
"81","BG_1_71",6
"82","BG_1_72",7
"83","BG_1_73",6
"84","BG_1_74",5
"85","BG_1_75",6
"86","BG_1_8",6
"87","BG_1_81",3
"88","BG_1_82",1
"89","BG_1_83",3
"90","BG_1_84",5
"91","BG_1_85",4
"92","BG_1_86",6
"93","BG_1_87",5
"94","BG_1_88",3
"95","BG_1_89",6
"96","BG_1_9",5
"97","BG_1_90",5
"98","BG_1_96",3
"99","BG_1_97",6
"100","BG_1_98",7
"101","BG_1_99",7
"102","BG_10_1",3
"103","BG_10_10",3
"104","BG_10_100",4
"105","BG_10_11",4
"106","BG_10_12",4
"107","BG_10_13",3
"108","BG_10_14",4
"109","BG_10_15",3
"110","BG_10_17",4
"111","BG_10_18",4
"112","BG_10_19",4
"113","BG_10_2",4
"114","BG_10_20",4
"115","BG_10_21",4
"116","BG_10_22",4
"117","BG_10_23",4
"118","BG_10_24",4
"119","BG_10_25",4
"120","BG_10_26",4
"121","BG_10_27",4
"122","BG_10_28",3
"123","BG_10_29",4
"124","BG_10_3",4
"125","BG_10_30",4
"126","BG_10_31",4
"127","BG_10_32",4
"128","BG_10_33",4
"129","BG_10_34",4
"130","BG_10_35",4
"131","BG_10_36",4
"132","BG_10_37",3
"133","BG_10_38",3
"134","BG_10_39",4
"135","BG_10_4",4
"136","BG_10_40",3
"137","BG_10_41",3
"138","BG_10_42",2
"139","BG_10_43",3
"140","BG_10_44",4
"141","BG_10_45",3
"142","BG_10_46",1
"143","BG_10_47",3
"144","BG_10_48",4
"145","BG_10_49",4
"146","BG_10_5",4
"147","BG_10_50",4
"148","BG_10_51",3
"149","BG_10_52",3
"150","BG_10_53",4
"151","BG_10_54",4
"152","BG_10_55",4
"153","BG_10_56",2
"154","BG_10_57",4
"155","BG_10_58",3
"156","BG_10_6",4
"157","BG_10_60",4
"158","BG_10_61",3
"159","BG_10_62",4
"160","BG_10_63",4
"161","BG_10_64",2
"162","BG_10_65",3
"163","BG_10_66",4
"164","BG_10_67",4
"165","BG_10_68",4
"166","BG_10_69",4
"167","BG_10_7",4
"168","BG_10_70",4
"169","BG_10_71",4
"170","BG_10_72",3
"171","BG_10_73",3
"172","BG_10_74",4
"173","BG_10_75",4
"174","BG_10_76",4
"175","BG_10_77",4
"176","BG_10_79",4
"177","BG_10_8",4
"178","BG_10_80",4
"179","BG_10_81",3
"180","BG_10_82",4
"181","BG_10_85",3
"182","BG_10_86",4
"183","BG_10_87",3
"184","BG_10_88",4
"185","BG_10_89",4
"186","BG_10_9",4
"187","BG_10_90",4
"188","BG_10_91",3
"189","BG_10_92",3
"190","BG_10_93",4
"191","BG_10_94",3
"192","BG_10_95",4
"193","BG_10_96",3
"194","BG_10_97",4
"195","BG_10_98",4
"196","BG_10_99",4
"197","BG_11_2",1
"198","BG_11_66",1
"199","BG_11_70",1
"200","BG_11_79",1
"201","BG_11_82",1
"202","BG_12_1",4
"203","BG_12_10",2
"204","BG_12_100",2
"205","BG_12_11",2
"206","BG_12_12",2
"207","BG_12_13",1
"208","BG_12_15",1
"209","BG_12_17",3
"210","BG_12_18",1
"211","BG_12_19",3
"212","BG_12_2",2
"213","BG_12_20",1
"214","BG_12_21",1
"215","BG_12_24",2
"216","BG_12_25",1
"217","BG_12_27",3
"218","BG_12_3",1
"219","BG_12_30",1
"220","BG_12_33",2
"221","BG_12_37",2
"222","BG_12_40",2
"223","BG_12_43",2
"224","BG_12_44",2
"225","BG_12_48",1
"226","BG_12_49",2
"227","BG_12_50",1
"228","BG_12_52",2
"229","BG_12_53",2
"230","BG_12_54",1
"231","BG_12_56",1
"232","BG_12_57",2
"233","BG_12_58",1
"234","BG_12_59",2
"235","BG_12_63",1
"236","BG_12_64",3
"237","BG_12_65",1
"238","BG_12_66",1
"239","BG_12_67",1
"240","BG_12_68",1
"241","BG_12_69",2
"242","BG_12_7",1
"243","BG_12_71",1
"244","BG_12_72",1
