,Site,StationKey,Year,Round,RECORDING_DATE,RECORD_TIME,Replicate,Observer,Rain,Wind,Industry,Noise,Latitude,Longitude,EASTING,NORTHING,VISIT,DateTime,DTPosixct,lubridated,Day,Month,Hour,Minute,Second,ALFL,AMBI,AMCO,AMCR,AMGO,AMKE,AMRE,AMRO,AMWI,ATSP,ATTW,BADO,BANS,BAOR,BARS,BAWA,BAWW,BBCU,BBMA,BBWA,BBWO,BCCH,BCFR,BEAV,BEKI,BHCO,BHVI,BLBW,BLJA,BLPW,BLTE,BOCH,BOGU,BOOW,BOWA,BRBL,BRCR,BTNW,BWHA,BWTE,BWWA,CAGU,CANG,CATO,CAWA,CCLO,CCSP,CEDW,CHSP,CLNU,CMWA,COGR,COLO,CONI,CONW,CORA,CORE,COWW,COTE,COYE,COYT,CRCH,CSWA,DEJU,DOGG,DOWO,DUGR,EAKI,EAPH,EUST,EVGR,FOSP,FOTE,FRGU,GADW,GBHE,GCKI,GCTH,GGOW,GHOW,GRAJ,GRCA,GRYE,GWFG,GWTE,HASP,HAWO,HEAI,HEBA,HEDT,HENO,HERA,HETH,HETR,HEWI,HOAR,HOFI,HOSP,HOWR,KILL,LALO,LBCU,LCSP,LECH,LEFL,LESC,LEYE,LIAI,LIBA,LIDT,LINO,LIRA,LISP,LITN,LITR,LIWI,MALL,MAWA,MAWR,MEGU,MERL,MGWA,MOAI,MOBA,MOBL,MODO,MODT,MONO,MORA,MOTN,MOTR,MOWA,MOWI,MYWA,NAWA,NESP,NOBO,NOFL,NOGO,NONE,NOPA,NOPO,NOWA,NRWS,NSWO,OCWA,OSFL,OSPR,OVEN,PAWA,PAWR,PBGR,PHVI,PISI,PIWO,PSFL,PUFI,RBGR,RBGU,RBNU,RCKI,RECR,REDH,RESQ,REVI,RNGR,RNSA,RTHA,RUBL,RUGR,RWBL,SACR,SAVS,SBDO,SCTA,SEWR,SORA,SOSA,SOSP,SPGR,SPPE,SPSA,SPTO,STGR,SWSP,SWTH,TEWA,TOSO,TRES,UNAM,UNBL,UNBL,UNBT,UNCR,UNCV,UNDU,UNFI,UNFL,UNFR,UNGU,UNKN,UNMA,UNOW,UNPA,UNQK,UNSA,UNSH,UNSP,UNSW,UNTE,UNTH,UNTRLL,UNVI,UNWA,UNWO,UNYE,VATH,VESP,VIRA,WAVI,WBBE,WBNU,WCSP,WETA,WETO,WEWP,WILL,WISN,WIWA,WIWR,WOFR,WOLF,WTDE,WTSP,WWCR,YBFL,YBSA,YELLOWRAIL,YEWA,YHBL,YRWA,YWAR,,X.1,X
,BG-0001,BG-0001-006,2014,1,02-Jul-14,5:00:00 AM,1,7,0,0,0,0,56.24801708,-111.0223503,498615,6233684,BG-0001-006_1_02-Jul-14_5:00:00 AM,2014-07-02 5:00,NA,2014-07-02 5:00,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,BG-0001-006_2014_1_02-Jul-14_5:00:00 AM_1_7_0_0_0_0_56.24801708_-111.0223503_498615_6233684
,BG-0001,BG-0001-006,2014,1,30-Jun-14,5:00:00 AM,1,7,0,0,0,2,56.24801708,-111.0223503,498615,6233684,BG-0001-006_1_30-Jun-14_5:00:00 AM,2014-06-30 5:00,NA,2014-06-30 5:00,30,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,BG-0001-006_2014_1_30-Jun-14_5:00:00 AM_1_7_0_0_0_2_56.24801708_-111.0223503_498615_6233684
,BG-0001,BG-0001-007,2014,1,01-Jul-14,5:00:00 AM,1,1,0,0,3,0,56.24801895,-111.0061806,499617,6233684,BG-0001-007_1_01-Jul-14_5:00:00 AM,2014-07-01 5:00,NA,2014-07-01 5:00,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,11,BG-0001-007_2014_1_01-Jul-14_5:00:00 AM_1_1_0_0_3_0_56.24801895_-111.0061806_499617_6233684
,BG-0001,BG-0001-007,2014,1,04-Jul-14,7:00:00 AM,1,1,0,0,0,3,56.24801895,-111.0061806,499617,6233684,BG-0001-007_1_04-Jul-14_7:00:00 AM,2014-07-04 7:00,NA,2014-07-04 7:00,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,BG-0001-007_2014_1_04-Jul-14_7:00:00 AM_1_1_0_0_0_3_56.24801895_-111.0061806_499617_6233684
,BG-0001,BG-0001-007,2014,1,06-Jul-14,10:00:00 AM,2,7,0,0,0,3,56.24801895,-111.0061806,499617,6233684,BG-0001-007_1_06-Jul-14_10:00:00 AM,2014-07-06 10:00,NA,2014-07-06 10:00,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,BG-0001-007_2014_1_06-Jul-14_10:00:00 AM_2_7_0_0_0_3_56.24801895_-111.0061806_499617_6233684
,BG-0001,BG-0001-007,2014,1,30-Jun-14,5:00:00 AM,1,1,0,0,1,3,56.24801895,-111.0061806,499617,6233684,BG-0001-007_1_30-Jun-14_5:00:00 AM,2014-06-30 5:00,NA,2014-06-30 5:00,30,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,16,BG-0001-007_2014_1_30-Jun-14_5:00:00 AM_1_1_0_0_1_3_56.24801895_-111.0061806_499617_6233684
,BG-0001,BG-0001-008,2014,1,02-Jul-14,5:00:00 AM,1,7,0,0,0,0,56.24798278,-110.990253,500604,6233680,BG-0001-008_1_02-Jul-14_5:00:00 AM,2014-07-02 5:00,NA,2014-07-02 5:00,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,19,BG-0001-008_2014_1_02-Jul-14_5:00:00 AM_1_7_0_0_0_0_56.24798278_-110.990253_500604_6233680
,BG-0001,BG-0001-008,2014,1,03-Jul-14,5:00:00 AM,1,1,0,0,0,0,56.24798278,-110.990253,500604,6233680,BG-0001-008_1_03-Jul-14_5:00:00 AM,2014-07-03 5:00,NA,2014-07-03 5:00,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,BG-0001-008_2014_1_03-Jul-14_5:00:00 AM_1_1_0_0_0_0_56.24798278_-110.990253_500604_6233680
,BG-0001,BG-0001-008,2014,1,04-Jul-14,5:00:00 AM,1,7,0,0,0,1,56.24798278,-110.990253,500604,6233680,BG-0001-008_1_04-Jul-14_5:00:00 AM,2014-07-04 5:00,NA,2014-07-04 5:00,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,BG-0001-008_2014_1_04-Jul-14_5:00:00 AM_1_7_0_0_0_1_56.24798278_-110.990253_500604_6233680
,BG-0001,BG-0001-009,2014,1,03-Jun-14,5:00:00 AM,1,7,0,0,2,0,56.24792644,-110.9736154,501635,6233674,BG-0001-009_1_03-Jun-14_5:00:00 AM,2014-06-03 5:00,NA,2014-06-03 5:00,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,BG-0001-009_2014_1_03-Jun-14_5:00:00 AM_1_7_0_0_2_0_56.24792644_-110.9736154_501635_6233674
